"Title",Rate,"Category",Year
"Omoide no Mânî",7.7,"Animation, Drama, Family",2014
"Harry Potter and the Deathly Hallows: Part 1",7.7,"Adventure, Family, Fantasy",2010
"Papurika",7.7,"Animation, Drama, Fantasy",2006
"Changeling",7.7,"Biography, Crime, Drama",2008
"Death Note: Desu nôto",7.7,"Crime, Drama, Fantasy",2006
"Ex Machina",7.7,"Drama, Mystery, Sci-Fi",2014
"Zodiac",7.7,"Crime, Drama, Mystery",2007
"Lucky Number Slevin",7.7,"Crime, Drama, Mystery",2006
"The Bourne Supremacy",7.7,"Action, Mystery, Thriller",2004
"Harry Potter and the Goblet of Fire",7.7,"Adventure, Family, Fantasy",2005
"Primal Fear",7.7,"Crime, Drama, Mystery",1996
"Glengarry Glen Ross",7.7,"Crime, Drama, Mystery",1992
"Who Framed Roger Rabbit",7.7,"Animation, Adventure, Comedy",1988
"Spoorloos",7.7,"Mystery, Thriller",1988
"Der Name der Rose",7.7,"Crime, Drama, Mystery",1986
"The Birds",7.7,"Drama, Horror, Mystery",1963
"Sicario",7.6,"Action, Crime, Drama",2015
"Who Am I - Kein System ist sicher",7.6,"Crime, Drama, Mystery",2014
"El cuerpo",7.6,"Mystery, Thriller",2012
"Sherlock Holmes",7.6,"Action, Adventure, Mystery",2009
"Inside Man",7.6,"Crime, Drama, Mystery",2006
"Gone Baby Gone",7.6,"Crime, Drama, Mystery",2007
"The Illusionist",7.6,"Drama, Fantasy, History",2006
"Harry Potter and the Half-Blood Prince",7.6,"Action, Adventure, Family",2009
"Watchmen",7.6,"Action, Drama, Mystery",2009
"Saw",7.6,"Horror, Mystery",2004
"Un long dimanche de fiançailles",7.6,"Drama, Mystery, Romance",2004
"Les invasions barbares",7.6,"Comedy, Crime, Drama",2003
"The Others",7.6,"Horror, Mystery, Thriller",2001
"Minority Report",7.6,"Action, Crime, Mystery",2002
"Le violon rouge",7.6,"Drama, Music, Mystery",1998
"Dark City",7.6,"Mystery, Sci-Fi, Thriller",1998
"Lost Highway",7.6,"Mystery, Thriller",1997
"The Abyss",7.6,"Adventure, Drama, Mystery",1989
"Profondo rosso",7.6,"Horror, Mystery, Thriller",1975
"Blowup",7.6,"Drama, Mystery, Thriller",1966
"The Lady from Shanghai",7.6,"Crime, Drama, Film-Noir",1947
"Spellbound",7.6,"Film-Noir, Mystery, Romance",1945
"The 39 Steps",7.6,"Film-Noir, Mystery, Thriller",1935
"Beoning",7.5,"Drama, Mystery",2018
"Gok-seong",7.5,"Horror, Mystery, Thriller",2016
"The Hunger Games: Catching Fire",7.5,"Action, Adventure, Mystery",2013
"Sherlock Holmes: A Game of Shadows",7.5,"Action, Adventure, Mystery",2011
"The Conjuring",7.5,"Horror, Mystery, Thriller",2013
"We Need to Talk About Kevin",7.5,"Drama, Mystery, Thriller",2011
"Hugo",7.5,"Drama, Family, Fantasy",2011
"Source Code",7.5,"Action, Drama, Mystery",2011
"Harry Potter and the Order of the Phoenix",7.5,"Action, Adventure, Family",2007
"Kiss Kiss Bang Bang",7.5,"Action, Comedy, Crime",2005
"Ne le dis à personne",7.5,"Crime, Drama, Mystery",2006
"Following",7.5,"Crime, Mystery, Thriller",1998
"The Devil's Advocate",7.5,"Drama, Mystery, Thriller",1997
"Picnic at Hanging Rock",7.5,"Drama, Mystery",1975
"The Wicker Man",7.5,"Horror, Mystery, Thriller",1973
"High Plains Drifter",7.5,"Drama, Mystery, Western",1973
"Durante la tormenta",7.4,"Drama, Mystery, Romance",2018
"The Nice Guys",7.4,"Action, Comedy, Crime",2016
"Dans la maison",7.4,"Drama, Mystery, Thriller",2012
"La cara oculta",7.4,"Drama, Mystery, Thriller",2011
"Av Mevsimi",7.4,"Crime, Drama, Mystery",2010
"Cloud Atlas",7.4,"Action, Drama, Mystery",2012
"El orfanato",7.4,"Drama, Horror, Mystery",2007
"The Three Burials of Melquiades Estrada",7.4,"Adventure, Crime, Drama",2005
"The Constant Gardener",7.4,"Drama, Mystery, Romance",2005
"The Curse of the Were-Rabbit",7.4,"Animation, Adventure, Comedy",2005
"Harry Potter and the Chamber of Secrets",7.4,"Adventure, Family, Fantasy",2002
"Irréversible",7.4,"Crime, Drama, Mystery",2002
"K-PAX",7.4,"Drama, Mystery, Sci-Fi",2001
"Pi",7.4,"Drama, Horror, Mystery",1998
"Eyes Wide Shut",7.4,"Drama, Mystery, Thriller",1999
"Contact",7.4,"Drama, Mystery, Sci-Fi",1997
"Tesis",7.4,"Horror, Mystery, Thriller",1996
"Lone Star",7.4,"Drama, Mystery",1996
"Dolores Claiborne",7.4,"Crime, Drama, Mystery",1995
"Manhattan Murder Mystery",7.4,"Comedy, Mystery",1993
"Blow Out",7.4,"Mystery, Thriller",1981
"Murder by Death",7.4,"Comedy, Crime, Mystery",1976
"Three Days of the Condor",7.4,"Mystery, Thriller",1975
"To Catch a Thief",7.4,"Mystery, Romance, Thriller",1955
"Suspicion",7.4,"Mystery, Thriller",1941
"Hereditary",7.3,"Drama, Horror, Mystery",2018
"The Ballad of Buster Scruggs",7.3,"Comedy, Drama, Musical",2018
"La isla mínima",7.3,"Adventure, Crime, Horror",2014
"The Conjuring 2",7.3,"Horror, Mystery, Thriller",2016
"Ghajini",7.3,"Action, Drama, Mystery",2008
"The Adventures of Tintin",7.3,"Animation, Action, Adventure",2011
"Brick",7.3,"Action, Crime, Drama",2005
"Caché",7.3,"Drama, Mystery, Thriller",2005
"Identity",7.3,"Mystery, Thriller",2003
"Unbreakable",7.3,"Drama, Mystery, Sci-Fi",2000
"Frequency",7.3,"Crime, Drama, Mystery",2000
"Sleepy Hollow",7.3,"Fantasy, Horror, Mystery",1999
"The Negotiator",7.3,"Action, Crime, Drama",1998
"Twin Peaks: Fire Walk with Me",7.3,"Drama, Horror, Mystery",1992
"Angel Heart",7.3,"Horror, Mystery, Thriller",1987
"Clue",7.3,"Comedy, Crime, Mystery",1985
"Death on the Nile",7.3,"Crime, Drama, Mystery",1978
"Murder on the Orient Express",7.3,"Crime, Drama, Mystery",1974
"Coherence",7.2,"Drama, Horror, Mystery",2013
"Talaash",7.2,"Crime, Drama, Mystery",2012
"Winter's Bone",7.2,"Drama, Mystery",2010
"Flickan som lekte med elden",7.2,"Crime, Drama, Mystery",2009
"10 Cloverfield Lane",7.2,"Drama, Horror, Mystery",2016
"The Ghost Writer",7.2,"Drama, Mystery, Thriller",2010
"Los cronocrímenes",7.2,"Horror, Mystery, Sci-Fi",2007
"Michael Clayton",7.2,"Crime, Drama, Mystery",2007
"The Fountain",7.2,"Drama, Mystery, Romance",2006
"Broken Flowers",7.2,"Comedy, Drama, Mystery",2005
"Fainaru fantajî sebun adobento chirudoren",7.2,"Animation, Action, Adventure",2005
"Janghwa, Hongryeon",7.2,"Drama, Horror, Mystery",2003
"11:14",7.2,"Crime, Drama, Mystery",2003
"Gosford Park",7.2,"Comedy, Drama, Mystery",2001
"Insomnia",7.2,"Drama, Mystery, Thriller",2002
"Ôdishon",7.2,"Drama, Horror, Mystery",2000
"Ringu",7.2,"Horror, Mystery",1998
"Cube",7.2,"Drama, Mystery, Sci-Fi",1997
"Anastasia",7.2,"Animation, Adventure, Drama",1997
"Scream",7.2,"Horror, Mystery",1996
"In the Mouth of Madness",7.2,"Drama, Horror, Mystery",1995
"Manhunter",7.2,"Crime, Horror, Mystery",1986
"The Great Mouse Detective",7.2,"Animation, Adventure, Family",1986
"Black Christmas",7.2,"Horror, Mystery, Thriller",1974
"Magnum Force",7.2,"Action, Crime, Mystery",1973
"The Andromeda Strain",7.2,"Mystery, Sci-Fi, Thriller",1971
"Marnie",7.2,"Crime, Drama, Mystery",1964
"Midsommar",7.1,"Drama, Horror, Mystery",2019
"Bad Times at the El Royale",7.1,"Crime, Drama, Mystery",2018
"First Reformed",7.1,"Drama, Mystery, Thriller",2017
"Sicario: Day of the Soldado",7.1,"Action, Adventure, Crime",2018
"Julieta",7.1,"Drama, Mystery, Romance",2016
"Brimstone",7.1,"Drama, Mystery, Thriller",2016
"Tinker Tailor Soldier Spy",7.1,"Drama, Mystery, Thriller",2011
